agent,blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,coverage,critical_violations,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,files,functions,info_violations,major_violations,minor_violations,ncloc,project_key,reliability_rating,repo_slug,security_hotspots,security_rating,sqale_index,sqale_rating,statements,variant,vulnerabilities
claude,1,7,153,475,200,4,0.1,844,22.9,50,28,20,195,4.5,143,650,4,178,249,3609,19MisterX98_SeedcrackerX__generated_claude,3.0,19MisterX98_SeedcrackerX,2,1.0,3375,1.0,1328,generated,0
codex,0,6,144,298,157,2,0.1,663,44.0,11,6,6,108,2.5,142,487,2,82,209,3396,19MisterX98_SeedcrackerX__generated_codex,3.0,19MisterX98_SeedcrackerX,0,1.0,2324,1.0,965,generated,0
claude,0,7,78,394,188,0,0.0,535,33.7,24,5,5,80,2.5,74,357,28,118,231,2616,19MisterX98_SeedcrackerX__generated_v2_claude,3.0,19MisterX98_SeedcrackerX,1,1.0,2769,1.0,919,v2,0
codex,0,4,142,228,167,2,0.1,709,65.9,1,0,0,0,0.0,140,494,3,42,186,3515,19MisterX98_SeedcrackerX__generated_v2_codex,3.0,19MisterX98_SeedcrackerX,0,1.0,2035,1.0,970,v2,0
claude,0,10,142,376,148,102,3.5,638,50.9,4,7,3,105,2.8,126,501,31,91,260,2800,19MisterX98_SeedcrackerX__generated_v3_claude,3.0,19MisterX98_SeedcrackerX,1,1.0,2675,1.0,1071,v3,0
codex,0,12,151,306,232,49,0.9,788,0.0,32,7,7,225,3.5,158,503,3,85,199,5234,19MisterX98_SeedcrackerX__generated_v3_codex,3.0,19MisterX98_SeedcrackerX,1,3.0,2336,1.0,1220,v3,1
,0,6,82,350,1130,125,2.2,1193,0.0,27,15,9,205,2.9,72,375,7,51,272,5528,19MisterX98_SeedcrackerX__original,3.0,19MisterX98_SeedcrackerX,4,3.0,3429,1.0,2847,original,1
claude,0,0,63,197,468,13,0.4,662,0.0,8,2,2,76,2.0,62,349,0,98,91,3093,DantSu_ESCPOS-ThermalPrinter-Android__generated_claude,1.0,DantSu_ESCPOS-ThermalPrinter-Android,0,1.0,1884,1.0,1334,generated,0
codex,0,0,62,79,249,3,0.1,543,64.0,3,0,0,0,0.0,60,336,0,32,44,2464,DantSu_ESCPOS-ThermalPrinter-Android__generated_codex,1.0,DantSu_ESCPOS-ThermalPrinter-Android,1,1.0,879,1.0,910,generated,0
claude,2,0,65,174,292,0,0.0,541,35.6,18,0,0,0,0.0,62,330,16,70,68,2619,DantSu_ESCPOS-ThermalPrinter-Android__generated_v2_claude,1.0,DantSu_ESCPOS-ThermalPrinter-Android,0,1.0,1423,1.0,1040,v2,0
codex,1,1,62,87,264,3,0.1,539,58.0,2,0,0,0,0.0,59,328,10,34,41,2543,DantSu_ESCPOS-ThermalPrinter-Android__generated_v2_codex,3.0,DantSu_ESCPOS-ThermalPrinter-Android,1,1.0,1043,1.0,908,v2,0
claude,3,1,71,140,420,66,2.3,627,0.0,7,4,4,126,3.6,66,366,2,72,58,2799,DantSu_ESCPOS-ThermalPrinter-Android__generated_v3_claude,3.0,DantSu_ESCPOS-ThermalPrinter-Android,0,4.0,1415,1.0,1187,v3,1
codex,0,1,61,72,231,0,0.0,512,0.1,5,0,0,0,0.0,62,331,0,28,40,2399,DantSu_ESCPOS-ThermalPrinter-Android__generated_v3_codex,3.0,DantSu_ESCPOS-ThermalPrinter-Android,1,1.0,854,1.0,860,v3,0
,0,2,48,139,449,326,9.2,555,0.0,18,0,0,0,0.0,57,247,0,31,94,3201,DantSu_ESCPOS-ThermalPrinter-Android__original,3.0,DantSu_ESCPOS-ThermalPrinter-Android,24,3.0,1167,1.0,1245,original,2
claude,0,2,7,92,209,14,1.3,224,0.0,13,9,1,136,11.3,7,88,0,49,32,1044,EsotericSoftware_reflectasm__generated_claude,2.0,EsotericSoftware_reflectasm,0,1.0,958,1.0,689,generated,0
codex,0,0,12,52,94,1,0.1,159,0.0,3,0,0,0,0.0,8,115,0,46,3,868,EsotericSoftware_reflectasm__generated_codex,1.0,EsotericSoftware_reflectasm,0,1.0,332,1.0,321,generated,0
claude,0,2,7,156,274,4,0.4,219,0.0,18,20,3,245,19.0,7,81,0,97,43,1092,EsotericSoftware_reflectasm__generated_v2_claude,2.0,EsotericSoftware_reflectasm,0,1.0,1287,1.0,672,v2,0
codex,0,1,11,44,155,2,0.2,207,0.0,2,0,0,0,0.0,8,90,0,42,1,880,EsotericSoftware_reflectasm__generated_v2_codex,2.0,EsotericSoftware_reflectasm,0,1.0,297,1.0,361,v2,0
claude,0,0,7,128,193,0,0.0,221,0.0,9,23,3,230,18.3,7,83,0,86,33,1057,EsotericSoftware_reflectasm__generated_v3_claude,1.0,EsotericSoftware_reflectasm,0,1.0,966,1.0,674,v3,0
codex,0,1,14,71,106,0,0.0,165,0.0,7,0,0,0,0.0,8,112,0,57,8,878,EsotericSoftware_reflectasm__generated_v3_codex,2.0,EsotericSoftware_reflectasm,0,1.0,660,1.0,377,v3,0
,0,3,5,232,197,50,4.2,192,84.3,31,15,3,271,19.4,6,67,3,71,130,1144,EsotericSoftware_reflectasm__original,3.0,EsotericSoftware_reflectasm,0,1.0,1822,2.0,702,original,0
claude,0,0,151,72,100,254,6.1,299,5.1,8,6,4,156,2.7,145,286,2,39,23,3930,Grt1228_chatgpt-java__generated_claude,1.0,Grt1228_chatgpt-java,1,1.0,628,1.0,557,generated,0
codex,1,2,151,73,158,0,0.0,471,7.0,11,0,0,0,0.0,150,377,2,27,34,4423,Grt1228_chatgpt-java__generated_codex,2.0,Grt1228_chatgpt-java,0,1.0,587,1.0,854,generated,0
claude,0,0,149,79,109,0,0.0,309,22.4,8,4,4,80,1.6,146,288,3,45,23,4283,Grt1228_chatgpt-java__generated_v2_claude,1.0,Grt1228_chatgpt-java,1,1.0,601,1.0,547,v2,0
codex,1,1,153,63,108,0,0.0,392,41.4,9,2,2,34,0.7,148,354,3,22,29,3945,Grt1228_chatgpt-java__generated_v2_codex,3.0,Grt1228_chatgpt-java,1,1.0,465,1.0,537,v2,0
claude,2,3,153,337,115,0,0.0,286,7.0,9,2,2,34,0.7,144,257,231,46,52,4364,Grt1228_chatgpt-java__generated_v3_claude,3.0,Grt1228_chatgpt-java,1,1.0,993,1.0,523,v3,0
codex,0,7,153,42,137,0,0.0,408,45.9,5,4,2,64,1.3,149,350,1,16,27,3955,Grt1228_chatgpt-java__generated_v3_codex,2.0,Grt1228_chatgpt-java,0,1.0,268,1.0,591,v3,0
,0,14,200,322,213,1974,21.9,552,0.0,54,36,14,788,6.5,159,440,26,205,51,7039,Grt1228_chatgpt-java__original,3.0,Grt1228_chatgpt-java,23,1.0,3005,1.0,1520,original,0
claude,0,0,19,83,347,0,0.0,292,52.6,18,12,4,370,22.0,20,83,4,46,16,1435,JMCuixy_swagger2word__generated_claude,1.0,JMCuixy_swagger2word,1,3.0,1197,1.0,748,generated,1
codex,0,0,20,59,231,0,0.0,351,80.6,12,14,4,260,13.7,21,171,0,43,5,1610,JMCuixy_swagger2word__generated_codex,1.0,JMCuixy_swagger2word,0,3.0,391,1.0,712,generated,1
claude,0,0,20,87,428,0,0.0,311,60.9,20,14,2,456,25.2,21,82,5,34,29,1583,JMCuixy_swagger2word__generated_v2_claude,1.0,JMCuixy_swagger2word,1,3.0,1034,1.0,781,v2,1
codex,0,0,20,43,201,0,0.0,312,69.0,17,4,3,80,4.9,21,154,0,18,9,1404,JMCuixy_swagger2word__generated_v2_codex,1.0,JMCuixy_swagger2word,0,3.0,405,1.0,636,v2,1
claude,0,1,20,128,615,0,0.0,425,53.5,49,16,2,450,19.7,21,127,9,56,16,2005,JMCuixy_swagger2word__generated_v3_claude,3.0,JMCuixy_swagger2word,1,3.0,1110,1.0,1002,v3,1
codex,1,0,21,46,187,0,0.0,337,71.8,11,6,6,146,8.0,22,177,0,21,16,1568,JMCuixy_swagger2word__generated_v3_codex,1.0,JMCuixy_swagger2word,0,5.0,331,1.0,672,v3,3
,0,1,19,135,532,331,15.0,384,0.0,39,24,7,478,17.2,20,125,4,44,50,1878,JMCuixy_swagger2word__original,3.0,JMCuixy_swagger2word,3,3.0,962,1.0,958,original,1
codex,1,0,17,39,191,2,0.2,223,88.3,10,2,1,36,2.9,9,105,0,17,11,1080,JakeWharton_RxRelay__generated,1.0,JakeWharton_RxRelay,0,1.0,316,1.0,520,generated,0
claude,0,3,16,55,175,173,15.2,205,0.0,16,0,0,0,0.0,8,101,0,28,14,962,JakeWharton_RxRelay__generated_claude,2.0,JakeWharton_RxRelay,0,1.0,590,1.0,486,generated,0
codex,1,0,17,115,212,0,0.0,232,0.0,16,4,2,56,4.3,9,103,70,20,8,1117,JakeWharton_RxRelay__generated_v2,1.0,JakeWharton_RxRelay,0,1.0,651,1.0,531,v2,0
claude,0,0,16,31,184,7,0.7,201,0.0,10,6,2,91,8.1,8,97,0,19,2,953,JakeWharton_RxRelay__generated_v2_claude,1.0,JakeWharton_RxRelay,0,1.0,271,1.0,470,v2,0
codex,0,0,19,60,167,0,0.0,194,0.0,9,6,2,92,8.4,7,97,0,13,38,933,JakeWharton_RxRelay__generated_v3,1.0,JakeWharton_RxRelay,0,1.0,237,1.0,460,v3,0
claude,0,8,17,69,175,72,7.0,203,0.0,14,4,2,90,7.2,7,94,0,39,24,957,JakeWharton_RxRelay__generated_v3_claude,3.0,JakeWharton_RxRelay,0,1.0,678,1.0,492,v3,0
,2,7,16,78,234,266,18.6,234,89.8,17,4,2,73,3.9,8,101,0,17,49,1163,JakeWharton_RxRelay__original,3.0,JakeWharton_RxRelay,3,1.0,670,1.0,555,original,0
claude,7,1,88,170,299,28,1.1,509,0.0,16,4,4,48,1.5,79,341,62,61,25,2621,LianjiaTech_retrofit-spring-boot-starter__generated_claude,5.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,1029,1.0,953,generated,0
codex,7,0,88,120,239,3,0.1,566,0.0,6,4,4,106,2.9,83,384,75,8,24,2943,LianjiaTech_retrofit-spring-boot-starter__generated_codex,1.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,426,1.0,853,generated,0
claude,7,1,90,187,300,151,5.5,388,0.0,7,6,4,90,2.5,80,242,72,69,33,2619,LianjiaTech_retrofit-spring-boot-starter__generated_v2_claude,3.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,1183,1.0,884,v2,0
codex,7,1,94,109,314,2,0.1,545,0.0,6,4,4,96,2.7,89,345,70,6,21,2873,LianjiaTech_retrofit-spring-boot-starter__generated_v2_codex,3.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,358,1.0,852,v2,0
claude,1,1,80,247,264,143,5.5,357,15.9,14,4,4,166,4.9,80,223,126,59,48,2472,LianjiaTech_retrofit-spring-boot-starter__generated_v3_claude,5.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,1188,1.0,790,v3,0
codex,7,0,86,120,247,0,0.0,516,0.0,7,2,2,26,0.8,84,336,72,9,25,2766,LianjiaTech_retrofit-spring-boot-starter__generated_v3_codex,1.0,LianjiaTech_retrofit-spring-boot-starter,1,1.0,460,1.0,777,v3,0
,8,2,104,69,295,533,14.6,428,61.6,8,7,5,307,6.2,78,263,8,12,35,3122,LianjiaTech_retrofit-spring-boot-starter__original,5.0,LianjiaTech_retrofit-spring-boot-starter,0,1.0,607,1.0,879,original,0
claude,0,2,87,156,417,1,0.0,639,22.2,13,2,2,86,1.9,57,373,0,78,67,3811,Meituan-Dianping_walle__generated_claude,2.0,Meituan-Dianping_walle,0,1.0,1155,1.0,1612,generated,0
codex,0,3,69,50,256,1,0.0,526,51.7,4,2,2,68,2.0,62,348,0,15,34,2784,Meituan-Dianping_walle__generated_codex,2.0,Meituan-Dianping_walle,0,1.0,461,1.0,1055,generated,0
claude,0,4,69,140,309,421,12.6,499,0.0,18,2,2,114,2.6,52,299,1,40,85,2930,Meituan-Dianping_walle__generated_v2_claude,4.0,Meituan-Dianping_walle,0,1.0,827,1.0,1175,v2,0
codex,0,3,74,42,261,2,0.1,537,0.0,5,2,2,52,1.6,54,356,0,23,17,2678,Meituan-Dianping_walle__generated_v2_codex,2.0,Meituan-Dianping_walle,0,1.0,274,1.0,1038,v2,0
claude,1,5,82,156,365,137,4.4,542,22.2,20,6,6,126,3.3,58,335,1,98,42,3010,Meituan-Dianping_walle__generated_v3_claude,5.0,Meituan-Dianping_walle,0,4.0,1508,1.0,1348,v3,1
codex,0,3,68,53,207,0,0.0,457,57.4,8,2,2,62,2.2,55,297,0,28,21,2406,Meituan-Dianping_walle__generated_v3_codex,3.0,Meituan-Dianping_walle,0,4.0,329,1.0,930,v3,1
,0,4,88,168,675,2168,29.5,807,0.0,14,6,4,94,1.0,67,401,12,45,105,5184,Meituan-Dianping_walle__original,2.0,Meituan-Dianping_walle,8,3.0,1269,1.0,2004,original,4
codex,0,1,53,178,428,247,8.1,685,84.0,14,0,0,0,0.0,48,434,1,35,129,2803,Mojang_brigadier__generated_codex,2.0,Mojang_brigadier,0,1.0,1176,1.0,1147,generated,0
claude,0,1,53,99,428,247,8.0,685,0.0,21,0,0,0,0.0,48,434,1,33,45,2823,Mojang_brigadier__generated_v2_claude,2.0,Mojang_brigadier,0,1.0,769,1.0,1147,v2,0
codex,0,1,53,180,428,247,8.1,685,84.1,13,0,0,0,0.0,48,434,1,34,133,2805,Mojang_brigadier__generated_v2_codex,2.0,Mojang_brigadier,0,1.0,1160,1.0,1147,v2,0
claude,0,1,53,174,428,247,8.1,685,83.6,14,0,0,0,0.0,48,434,1,30,130,2813,Mojang_brigadier__generated_v3_claude,2.0,Mojang_brigadier,0,1.0,1160,1.0,1147,v3,0
codex,0,1,53,186,428,247,8.1,685,84.1,13,0,0,0,0.0,48,434,1,43,130,2801,Mojang_brigadier__generated_v3_codex,2.0,Mojang_brigadier,0,1.0,1206,1.0,1147,v3,0
,0,1,53,157,428,247,8.2,685,0.0,11,0,0,0,0.0,47,434,1,28,118,2754,Mojang_brigadier__original,2.0,Mojang_brigadier,0,1.0,1071,1.0,1147,original,0
codex,6,5,70,168,134,0,0.0,507,0.0,28,12,12,456,14.3,54,359,36,41,62,2645,Netflix_concurrency-limits__generated_codex,3.0,Netflix_concurrency-limits,1,1.0,1129,1.0,918,generated,0
claude,2,3,65,149,147,0,0.0,482,0.0,24,12,10,296,9.8,49,328,6,59,61,2418,Netflix_concurrency-limits__generated_v2_claude,3.0,Netflix_concurrency-limits,1,1.0,1201,1.0,875,v2,0
codex,6,10,69,202,173,0,0.0,526,0.0,27,12,8,325,10.4,51,348,78,33,68,2571,Netflix_concurrency-limits__generated_v2_codex,3.0,Netflix_concurrency-limits,1,1.0,1191,1.0,911,v2,0
claude,2,5,64,145,147,12,0.5,443,0.0,20,4,4,58,1.9,49,305,6,55,67,2396,Netflix_concurrency-limits__generated_v3_claude,3.0,Netflix_concurrency-limits,1,1.0,1173,1.0,820,v3,0
codex,7,5,72,139,118,1,0.0,455,0.0,47,8,6,142,4.8,54,322,6,32,52,2399,Netflix_concurrency-limits__generated_v3_codex,3.0,Netflix_concurrency-limits,1,1.0,1074,1.0,827,v3,0
,1,10,107,247,306,675,10.9,846,0.0,36,16,16,1186,13.7,84,541,27,78,116,5544,Netflix_concurrency-limits__original,5.0,Netflix_concurrency-limits,4,3.0,1745,1.0,2041,original,1
claude,1,3,103,306,334,0,0.0,758,13.7,61,0,0,0,0.0,96,606,11,150,86,3839,RikkaApps_Shizuku-API__generated_claude,3.0,RikkaApps_Shizuku-API,0,1.0,1806,1.0,1280,generated,0
codex,1,5,102,157,199,19,0.6,663,44.5,29,0,0,0,0.0,92,533,0,94,38,3203,RikkaApps_Shizuku-API__generated_codex,5.0,RikkaApps_Shizuku-API,0,1.0,956,1.0,954,generated,0
claude,4,11,114,414,266,24,0.6,724,32.9,43,0,0,0,0.0,95,620,0,231,148,3906,RikkaApps_Shizuku-API__generated_v2_claude,5.0,RikkaApps_Shizuku-API,0,3.0,2590,1.0,1310,v2,1
codex,2,4,109,144,273,0,0.0,719,50.3,18,0,0,0,0.0,86,548,0,85,43,3284,RikkaApps_Shizuku-API__generated_v2_codex,5.0,RikkaApps_Shizuku-API,0,1.0,846,1.0,1070,v2,0
claude,4,5,108,283,271,1,0.0,682,0.0,31,0,0,0,0.0,93,542,0,200,53,2902,RikkaApps_Shizuku-API__generated_v3_claude,5.0,RikkaApps_Shizuku-API,1,1.0,1778,1.0,1162,v3,0
codex,2,3,101,187,196,1,0.0,657,45.2,18,0,0,0,0.0,87,508,0,104,66,2917,RikkaApps_Shizuku-API__generated_v3_codex,5.0,RikkaApps_Shizuku-API,0,1.0,1187,1.0,881,v3,0
,0,4,81,219,626,404,8.4,734,0.0,40,0,0,0,0.0,82,376,1,144,42,4399,RikkaApps_Shizuku-API__original,3.0,RikkaApps_Shizuku-API,17,4.0,3029,1.0,1878,original,4
claude,11,0,108,99,116,25,1.0,233,0.0,3,0,0,0,0.0,100,226,13,59,13,2604,TheoKanning_openai-java__generated_claude,1.0,TheoKanning_openai-java,0,1.0,935,1.0,400,generated,0
codex,1,0,140,138,158,0,0.0,413,0.0,7,0,0,0,0.0,137,345,24,42,64,3453,TheoKanning_openai-java__generated_codex,1.0,TheoKanning_openai-java,0,1.0,1176,1.0,530,generated,0
claude,0,0,136,172,202,19,0.6,310,0.0,8,0,0,0,0.0,134,243,11,64,90,3339,TheoKanning_openai-java__generated_v2_claude,1.0,TheoKanning_openai-java,0,3.0,1673,1.0,562,v2,1
codex,0,0,134,130,138,0,0.0,319,0.0,4,0,0,0,0.0,131,262,24,42,60,3217,TheoKanning_openai-java__generated_v2_codex,1.0,TheoKanning_openai-java,0,1.0,992,1.0,451,v2,0
claude,1,1,134,198,194,12,0.4,278,0.0,10,4,1,24,0.8,130,220,38,67,83,2667,TheoKanning_openai-java__generated_v3_claude,4.0,TheoKanning_openai-java,0,1.0,1571,1.0,468,v3,0
codex,0,0,137,148,195,0,0.0,449,0.0,7,0,0,0,0.0,130,353,23,41,77,3902,TheoKanning_openai-java__generated_v3_codex,1.0,TheoKanning_openai-java,0,1.0,1202,1.0,627,v3,0
,2,3,138,202,177,802,19.3,273,4.3,16,2,2,41,0.6,128,235,42,77,68,3359,TheoKanning_openai-java__original,5.0,TheoKanning_openai-java,5,1.0,1618,1.0,559,original,0
claude,0,0,39,93,251,0,0.0,348,12.0,13,0,0,0,0.0,40,219,0,44,36,2103,YeautyYE_netty-websocket-spring-boot-starter__generated_claude,1.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,696,1.0,772,generated,0
codex,0,4,42,58,288,1,0.0,405,58.0,19,0,0,0,0.0,42,240,0,9,34,2250,YeautyYE_netty-websocket-spring-boot-starter__generated_codex,2.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,409,1.0,804,generated,0
claude,0,0,39,28,214,4,0.2,325,7.0,6,0,0,0,0.0,40,211,1,16,5,1891,YeautyYE_netty-websocket-spring-boot-starter__generated_v2_claude,1.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,248,1.0,691,v2,0
codex,0,1,41,68,181,0,0.0,334,66.3,10,0,0,0,0.0,42,220,0,13,46,1884,YeautyYE_netty-websocket-spring-boot-starter__generated_v2_codex,2.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,348,1.0,639,v2,0
claude,3,1,39,111,225,20,1.1,325,20.3,15,0,0,0,0.0,40,203,0,25,69,1861,YeautyYE_netty-websocket-spring-boot-starter__generated_v3_claude,2.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,536,1.0,677,v3,0
codex,1,1,44,37,206,0,0.0,369,69.9,13,0,0,0,0.0,41,217,0,8,16,2043,YeautyYE_netty-websocket-spring-boot-starter__generated_v3_codex,2.0,YeautyYE_netty-websocket-spring-boot-starter,0,1.0,221,1.0,695,v3,0
