run_id,repo_slug,agent,variant,step,scan_label,project_key,project_name,input_repo,manifest_path,target_follow_up_status,target_follow_up_reason,attempt_count,lidskjalv_attempt_count,manual_attempt_count,successful_attempt_count,failed_attempt_count,latest_attempt_type,latest_result,latest_submission_success,latest_sonar_task_id,latest_finished_at,latest_attempt_dir,latest_stable_output_dir,latest_docker_log_path,latest_error,latest_retry_report_status,latest_retry_report_reason,latest_image_ref_used,latest_image_source_used,latest_scanner_image,sidecar_status,sidecar_reason,sidecar_ce_task_status,sidecar_quality_gate_status,sidecar_data_status,sidecar_last_checked_at,sidecar_last_error,sidecar_has_measures
20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,amitshekhariitbhu_Android-Debug-Database,codex,original,lidskjalv-original,original,amitshekhariitbhu_Android-Debug-Database__original,amitshekhariitbhu/Android-Debug-Database (original),/srv/pipeline/runs/20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_28VHUWSQennmJepJ,2026-05-19T10:50:35Z,/srv/pipeline/retries/sonar-resubmission/20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6/lidskjalv-original/manual-attempt-20260519T104800Z,/srv/pipeline/retries/sonar-resubmission/20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6/lidskjalv-original/manual-attempt-20260519T104800Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,amitshekhariitbhu_PRDownloader,codex,original,lidskjalv-original,original,amitshekhariitbhu_PRDownloader__original,amitshekhariitbhu/PRDownloader (original),/srv/pipeline/runs/20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_3fstxI4dTft2i39g,2026-05-19T10:52:59Z,/srv/pipeline/retries/sonar-resubmission/20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8/lidskjalv-original/manual-attempt-20260519T105035Z,/srv/pipeline/retries/sonar-resubmission/20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8/lidskjalv-original/manual-attempt-20260519T105035Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,esoxjem_MovieGuide,codex,original,lidskjalv-original,original,esoxjem_MovieGuide__original,esoxjem/MovieGuide (original),/srv/pipeline/runs/20260506T083333Z__esoxjem_MovieGuide__dc1f20fb/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_4FQrRVMZTadchvQI,2026-05-19T10:55:33Z,/srv/pipeline/retries/sonar-resubmission/20260506T083333Z__esoxjem_MovieGuide__dc1f20fb/lidskjalv-original/manual-attempt-20260519T105259Z,/srv/pipeline/retries/sonar-resubmission/20260506T083333Z__esoxjem_MovieGuide__dc1f20fb/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260506T083333Z__esoxjem_MovieGuide__dc1f20fb/lidskjalv-original/manual-attempt-20260519T105259Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,19MisterX98_SeedcrackerX,codex,v3,lidskjalv-generated-v3,generated-v3,19MisterX98_SeedcrackerX__generated_v3_codex,19MisterX98/SeedcrackerX (generated) v3 codex,/srv/pipeline/runs/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/services/kvasir-v3/run/artifacts/ported-tests-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_5X8KvFcmMJfY9_oL,2026-05-19T11:01:12Z,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-generated-v3/manual-attempt-20260519T105818Z,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-generated-v3,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-generated-v3/manual-attempt-20260519T105818Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,19MisterX98_SeedcrackerX,codex,original,lidskjalv-original,original,19MisterX98_SeedcrackerX__original,19MisterX98/SeedcrackerX (original),/srv/pipeline/runs/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/services/brokk/run/artifacts/original-repo,,,,2,1,1,2,0,manual,submission_success,True,AZ4_4tfgUWSQennmJfF8,2026-05-19T10:58:18Z,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-original/manual-attempt-20260519T105533Z,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d/lidskjalv-original/manual-attempt-20260519T105533Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093422Z__airbnb_native-navigation__9cf50bf9,airbnb_native-navigation,codex,original,lidskjalv-original,original,airbnb_native-navigation__original,airbnb/native-navigation (original),/srv/pipeline/runs/20260507T093422Z__airbnb_native-navigation__9cf50bf9/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_6EaR2eTCaR8PPXiA,2026-05-19T11:04:14Z,/srv/pipeline/retries/sonar-resubmission/20260507T093422Z__airbnb_native-navigation__9cf50bf9/lidskjalv-original/manual-attempt-20260519T110112Z,/srv/pipeline/retries/sonar-resubmission/20260507T093422Z__airbnb_native-navigation__9cf50bf9/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093422Z__airbnb_native-navigation__9cf50bf9/lidskjalv-original/manual-attempt-20260519T110112Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,DantSu_ESCPOS-ThermalPrinter-Android,codex,original,lidskjalv-original,original,DantSu_ESCPOS-ThermalPrinter-Android__original,DantSu/ESCPOS-ThermalPrinter-Android (original),/srv/pipeline/runs/20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_7UAmxI4dTft2i467,2026-05-19T11:09:39Z,/srv/pipeline/retries/sonar-resubmission/20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4/lidskjalv-original/manual-attempt-20260519T110414Z,/srv/pipeline/retries/sonar-resubmission/20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4/lidskjalv-original/manual-attempt-20260519T110414Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093701Z__elvishew_xLog__3faa6b27,elvishew_xLog,codex,original,lidskjalv-original,original,elvishew_xLog__original,elvishew/xLog (original),/srv/pipeline/runs/20260507T093701Z__elvishew_xLog__3faa6b27/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_7ujBxIP_AyaldrSM,2026-05-19T11:11:28Z,/srv/pipeline/retries/sonar-resubmission/20260507T093701Z__elvishew_xLog__3faa6b27/lidskjalv-original/manual-attempt-20260519T110939Z,/srv/pipeline/retries/sonar-resubmission/20260507T093701Z__elvishew_xLog__3faa6b27/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093701Z__elvishew_xLog__3faa6b27/lidskjalv-original/manual-attempt-20260519T110939Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093714Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,codex,original,lidskjalv-original,original,evant_binding-collection-adapter__original,evant/binding-collection-adapter (original),/srv/pipeline/runs/20260507T093714Z__evant_binding-collection-adapter__ac7972e1/services/brokk/run/artifacts/original-repo,,,,3,1,2,2,1,manual,submission_success,True,AZ4_8zwF60x1tm-K57Sf,2026-05-19T11:16:11Z,/srv/pipeline/retries/sonar-resubmission/20260507T093714Z__evant_binding-collection-adapter__ac7972e1/lidskjalv-original/manual-attempt-20260519T111128Z,/srv/pipeline/retries/sonar-resubmission/20260507T093714Z__evant_binding-collection-adapter__ac7972e1/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093714Z__evant_binding-collection-adapter__ac7972e1/lidskjalv-original/manual-attempt-20260519T111128Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260507T093724Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,codex,original,lidskjalv-original,original,Grt1228_chatgpt-java__original,Grt1228/chatgpt-java (original),/srv/pipeline/runs/20260507T093724Z__Grt1228_chatgpt-java__ae761b89/services/brokk/run/artifacts/original-repo,,,,2,0,2,2,0,manual,submission_success,True,AZ4_9a5qyLMtige80_oD,2026-05-19T11:18:53Z,/srv/pipeline/retries/sonar-resubmission/20260507T093724Z__Grt1228_chatgpt-java__ae761b89/lidskjalv-original/manual-attempt-20260519T111611Z,/srv/pipeline/retries/sonar-resubmission/20260507T093724Z__Grt1228_chatgpt-java__ae761b89/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260507T093724Z__Grt1228_chatgpt-java__ae761b89/lidskjalv-original/manual-attempt-20260519T111611Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260508T095119Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,codex,original,lidskjalv-original,original,linkedin_kafka-monitor__original,linkedin/kafka-monitor (original),/srv/pipeline/runs/20260508T095119Z__linkedin_kafka-monitor__043db641/services/brokk/run/artifacts/original-repo,,,,2,0,2,2,0,manual,submission_success,True,AZ4_-Av5yLMtige80_yD,2026-05-19T11:21:28Z,/srv/pipeline/retries/sonar-resubmission/20260508T095119Z__linkedin_kafka-monitor__043db641/lidskjalv-original/manual-attempt-20260519T111853Z,/srv/pipeline/retries/sonar-resubmission/20260508T095119Z__linkedin_kafka-monitor__043db641/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260508T095119Z__linkedin_kafka-monitor__043db641/lidskjalv-original/manual-attempt-20260519T111853Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260508T095125Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,codex,original,lidskjalv-original,original,macrozheng_mall-tiny__original,macrozheng/mall-tiny (original),/srv/pipeline/runs/20260508T095125Z__macrozheng_mall-tiny__a81ec474/services/brokk/run/artifacts/original-repo,,,,2,0,2,2,0,manual,submission_success,True,AZ4_-k-ORVMZTadchw6b,2026-05-19T11:23:55Z,/srv/pipeline/retries/sonar-resubmission/20260508T095125Z__macrozheng_mall-tiny__a81ec474/lidskjalv-original/manual-attempt-20260519T112128Z,/srv/pipeline/retries/sonar-resubmission/20260508T095125Z__macrozheng_mall-tiny__a81ec474/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260508T095125Z__macrozheng_mall-tiny__a81ec474/lidskjalv-original/manual-attempt-20260519T112128Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260508T095131Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,codex,original,lidskjalv-original,original,Meituan-Dianping_walle__original,Meituan-Dianping/walle (original),/srv/pipeline/runs/20260508T095131Z__Meituan-Dianping_walle__f78edcf1/services/brokk/run/artifacts/original-repo,,,,1,0,1,1,0,manual,submission_success,True,AZ4__AQy60x1tm-K570h,2026-05-19T11:25:47Z,/srv/pipeline/retries/sonar-resubmission/20260508T095131Z__Meituan-Dianping_walle__f78edcf1/lidskjalv-original/manual-attempt-20260519T112355Z,/srv/pipeline/retries/sonar-resubmission/20260508T095131Z__Meituan-Dianping_walle__f78edcf1/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260508T095131Z__Meituan-Dianping_walle__f78edcf1/lidskjalv-original/manual-attempt-20260519T112355Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260508T095153Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,codex,original,lidskjalv-original,original,Netflix_concurrency-limits__original,Netflix/concurrency-limits (original),/srv/pipeline/runs/20260508T095153Z__Netflix_concurrency-limits__e8df64d8/services/brokk/run/artifacts/original-repo,,,,1,0,1,1,0,manual,submission_success,True,AZ4__yLObs6aBDlDQZEr,2026-05-19T11:29:13Z,/srv/pipeline/retries/sonar-resubmission/20260508T095153Z__Netflix_concurrency-limits__e8df64d8/lidskjalv-original/manual-attempt-20260519T112547Z,/srv/pipeline/retries/sonar-resubmission/20260508T095153Z__Netflix_concurrency-limits__e8df64d8/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260508T095153Z__Netflix_concurrency-limits__e8df64d8/lidskjalv-original/manual-attempt-20260519T112547Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,codex,original,lidskjalv-original,original,pwittchen_ReactiveNetwork__original,pwittchen/ReactiveNetwork (original),/srv/pipeline/runs/20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340/services/brokk/run/artifacts/original-repo,,,,1,0,1,1,0,manual,submission_success,True,AZ5AAnuxVcJyiDABMyWL,2026-05-19T11:32:51Z,/srv/pipeline/retries/sonar-resubmission/20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340/lidskjalv-original/manual-attempt-20260519T112913Z,/srv/pipeline/retries/sonar-resubmission/20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340/lidskjalv-original,/srv/pipeline/retries/sonar-resubmission/20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340/lidskjalv-original/manual-attempt-20260519T112913Z/docker.log,,,,,,sonarsource/sonar-scanner-cli:latest,complete,,SUCCESS,NONE,complete,2026-05-19T18:05:35Z,,True
